GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,com.quertle.demo.service.lucene,LuceneService,113,46,2,0,28,10,5,4,4,4
demo,com.quertle.demo,DemoApplication,5,3,0,0,2,1,1,1,1,1
demo,com.quertle.demo.model,Question,55,137,5,5,13,30,7,13,4,11
demo,com.quertle.demo.model,Author,87,3,0,0,22,2,11,1,11,1
demo,com.quertle.demo.model,General,0,17,0,0,0,7,0,5,0,5
demo,com.quertle.demo.model,FierceNews,509,3,30,0,88,1,37,1,22,1
demo,com.quertle.demo.exceptions,SomethingWrongException,4,0,0,0,2,0,1,0,1,0
demo,com.quertle.demo.service.solr,SolrService,147,63,4,0,44,20,5,5,3,5
demo,com.quertle.demo.service.solr,SolrUtils,0,17,0,0,0,4,0,2,0,2
demo,com.quertle.demo.service,FetchService,401,7,18,0,101,2,26,2,17,2
demo,com.quertle.demo.service,QuestionService,18,109,0,4,9,26,2,5,2,3
demo,com.quertle.demo.service,GeneralService,12,3,0,0,4,1,1,1,1,1
demo,com.quertle.demo.utils,DateUtils,33,0,0,0,8,0,2,0,2,0
demo,com.quertle.demo.dto,SearchDto,17,0,0,0,7,0,5,0,5,0
demo,com.quertle.demo.dto,QuestionSearchDto,7,27,0,0,3,5,2,4,2,4
demo,com.quertle.demo.dto,Address,10,0,0,0,4,0,3,0,3,0
demo,com.quertle.demo.controller,GeneralController,28,22,1,1,7,6,4,3,3,3
demo,com.quertle.demo.controller,SolrController,68,7,0,0,14,2,4,2,4,2
demo,com.quertle.demo.controller,SearchController,34,7,0,0,7,2,2,2,2,2
